src,rel,dst,evidence,value,strength
img_351cddb2,HAS_OPTIC_DISC,od_14417ee8,,,
img_351cddb2,HAS_RIM,rim_0e813ca7,,,
img_351cddb2,HAS_PATHOLOGY,path_4f12dd21,,,
img_351cddb2,HAS_DIAGNOSIS,diag_a5561a59,,,
diag_a5561a59,HAS_RISK,risk_high_risk,,,
od_14417ee8,SUPPORTS_DIAGNOSIS,diag_a5561a59,cup_to_disc_ratio,0.8,
rim_0e813ca7,SUPPORTS_DIAGNOSIS,diag_a5561a59,isnt_rule_violated,true,
path_4f12dd21,SUPPORTS_DIAGNOSIS,diag_a5561a59,"bayoneting,notching,laminar_dot_sign",true,
img_8b061979,HAS_OPTIC_DISC,od_d314a969,,,
img_8b061979,HAS_RIM,rim_5448e1e6,,,
img_8b061979,HAS_PATHOLOGY,path_7df8f540,,,
img_8b061979,HAS_DIAGNOSIS,diag_dcb19fb3,,,
diag_dcb19fb3,HAS_RISK,risk_very_healthy,,,
od_d314a969,SUPPORTS_DIAGNOSIS,diag_dcb19fb3,cup_to_disc_ratio,0.4,
img_822399c6,HAS_OPTIC_DISC,od_9df47979,,,
img_822399c6,HAS_RIM,rim_34c4f81d,,,
img_822399c6,HAS_PATHOLOGY,path_711f6480,,,
img_822399c6,HAS_DIAGNOSIS,diag_0b076ea9,,,
diag_0b076ea9,HAS_RISK,risk_high_risk,,,
od_9df47979,SUPPORTS_DIAGNOSIS,diag_0b076ea9,cup_to_disc_ratio,0.7,
rim_34c4f81d,SUPPORTS_DIAGNOSIS,diag_0b076ea9,isnt_rule_violated,true,
img_6c7103ad,HAS_OPTIC_DISC,od_928b4f83,,,
img_6c7103ad,HAS_RIM,rim_5e5b3d9d,,,
img_6c7103ad,HAS_PATHOLOGY,path_b96514ff,,,
img_6c7103ad,HAS_DIAGNOSIS,diag_3bbb83fa,,,
diag_3bbb83fa,HAS_RISK,risk_high_risk,,,
od_928b4f83,SUPPORTS_DIAGNOSIS,diag_3bbb83fa,cup_to_disc_ratio,0.8,
rim_5e5b3d9d,SUPPORTS_DIAGNOSIS,diag_3bbb83fa,isnt_rule_violated,true,
img_5c98171d,HAS_OPTIC_DISC,od_6315fb85,,,
img_5c98171d,HAS_RIM,rim_eb62261f,,,
img_5c98171d,HAS_PATHOLOGY,path_e62d42cf,,,
img_5c98171d,HAS_DIAGNOSIS,diag_bc8ef99a,,,
diag_bc8ef99a,HAS_RISK,risk_high_risk,,,
od_6315fb85,SUPPORTS_DIAGNOSIS,diag_bc8ef99a,cup_to_disc_ratio,0.8,
rim_eb62261f,SUPPORTS_DIAGNOSIS,diag_bc8ef99a,isnt_rule_violated,true,
path_e62d42cf,SUPPORTS_DIAGNOSIS,diag_bc8ef99a,"bayoneting,notching",true,
img_4b3bab02,HAS_OPTIC_DISC,od_afefbf3c,,,
img_4b3bab02,HAS_RIM,rim_9f5f48f7,,,
img_4b3bab02,HAS_PATHOLOGY,path_5fb1d827,,,
img_4b3bab02,HAS_DIAGNOSIS,diag_8590833f,,,
diag_8590833f,HAS_RISK,risk_very_healthy,,,
od_afefbf3c,SUPPORTS_DIAGNOSIS,diag_8590833f,cup_to_disc_ratio,0.4,
img_f3c15ccf,HAS_OPTIC_DISC,od_6e5952ba,,,
